fold,studyOrig,study,platform,id,condition,rating,rating2,rt,perc_acc,perc_accDR,politically_concordant,real,item_num,crt_acc,demrep,conservative,demrepParty,trump2016,age,gender,white,college,accimp
0,Arechar Pilot,P,Lucid,100155,0,0,0,0.959,0.401449292898178,0.41120002,,1,123,0,1,0,,,29,1,1,0,
0,Arechar Pilot,P,Lucid,100155,0,0,0,1.205,0.644927501678467,0.62559998,,1,124,0,1,0,,,29,1,1,0,
0,Arechar Pilot,P,Lucid,100155,0,0,0,1.172,0.669090926647186,0.63114756,,1,125,0,1,0,,,29,1,1,0,
0,Arechar Pilot,P,Lucid,100155,0,0,0,1.051,0.578102231025696,0.56422764,,1,126,0,1,0,,,29,1,1,0,
0,Arechar Pilot,P,Lucid,100155,0,0,0,1,0.660869598388672,0.69430894,,1,127,0,1,0,,,29,1,1,0,
0,Arechar Pilot,P,Lucid,100156,0,0.2,0,9.225,0.290579706430435,0.25882354,,0,101,0,0,0.375,,,59,2,0,1,
0,Arechar Pilot,P,Lucid,100156,0,0,0,6.803,0.289130449295044,0.26710528,,0,103,0,0,0.375,,,59,2,0,1,
0,Arechar Pilot,P,Lucid,100156,0,0,0,4.605,0.211552336812019,0.1881579,,0,104,0,0,0.375,,,59,2,0,1,
0,Arechar Pilot,P,Lucid,100156,0,0,0,6.364,0.210791349411011,0.18543047,,0,106,0,0,0.375,,,59,2,0,1,
0,Arechar Pilot,P,Lucid,100156,0,1,1,5.999,0.32974910736084,0.32077923,,0,109,0,0,0.375,,,59,2,0,1,
0,Arechar Pilot,P,Lucid,100156,0,0,0,5.973,0.278700351715088,0.27058825,,0,110,0,0,0.375,,,59,2,0,1,
0,Arechar Pilot,P,Lucid,100156,0,1,1,6.486,0.228673845529556,0.21960784,,1,112,0,0,0.375,,,59,2,0,1,
0,Arechar Pilot,P,Lucid,100156,0,0,0,4.19,0.267148017883301,0.25430465,,1,114,0,0,0.375,,,59,2,0,1,
0,Arechar Pilot,P,Lucid,100156,0,0,0,7.155,0.605818152427673,0.56423843,,1,116,0,0,0.375,,,59,2,0,1,
0,Arechar Pilot,P,Lucid,100156,0,0.40000001,0,6.269,0.419565200805664,0.39215687,,1,118,0,0,0.375,,,59,2,0,1,
0,Arechar Pilot,P,Lucid,100156,0,0.60000002,1,5.381,0.576811611652374,0.57647061,,1,119,0,0,0.375,,,59,2,0,1,
0,Arechar Pilot,P,Lucid,100156,0,1,1,3.998,0.60945451259613,0.62384105,,1,120,0,0,0.375,,,59,2,0,1,
0,Arechar Pilot,P,Lucid,100156,0,0.80000001,1,6.953,0.644927501678467,0.66092718,,1,124,0,0,0.375,,,59,2,0,1,
0,Arechar Pilot,P,Lucid,100156,0,0.80000001,1,5.258,0.669090926647186,0.69934642,,1,125,0,0,0.375,,,59,2,0,1,
0,Arechar Pilot,P,Lucid,100156,0,0.80000001,1,4.844,0.578102231025696,0.58940399,,1,126,0,0,0.375,,,59,2,0,1,
0,Arechar Pilot,P,Lucid,100156,0,0.2,0,6.431,0.660869598388672,0.63398695,,1,127,0,0,0.375,,,59,2,0,1,
0,Arechar Pilot,P,Lucid,100180,0,0.2,0,5.788,0.290579706430435,0.25882354,,0,101,0.25,0,0.75,,,36,1,1,1,
0,Arechar Pilot,P,Lucid,100180,0,0,0,1.875,0.301075279712677,0.29090908,,0,102,0.25,0,0.75,,,36,1,1,1,
0,Arechar Pilot,P,Lucid,100180,0,0,0,4.284,0.289130449295044,0.26710528,,0,103,0.25,0,0.75,,,36,1,1,1,
0,Arechar Pilot,P,Lucid,100180,0,0.60000002,1,4.279,0.211552336812019,0.1881579,,0,104,0.25,0,0.75,,,36,1,1,1,
0,Arechar Pilot,P,Lucid,100180,0,0.2,0,3.016,0.210791349411011,0.18543047,,0,106,0.25,0,0.75,,,36,1,1,1,
0,Arechar Pilot,P,Lucid,100180,0,0.40000001,0,4.772,0.268592059612274,0.22913907,,0,108,0.25,0,0.75,,,36,1,1,1,
0,Arechar Pilot,P,Lucid,100180,0,0,0,2.835,0.32974910736084,0.32077923,,0,109,0.25,0,0.75,,,36,1,1,1,
0,Arechar Pilot,P,Lucid,100180,0,0.2,0,4.738,0.278700351715088,0.27058825,,0,110,0.25,0,0.75,,,36,1,1,1,
0,Arechar Pilot,P,Lucid,100180,0,0.60000002,1,7.735,0.228673845529556,0.21960784,,1,112,0.25,0,0.75,,,36,1,1,1,
0,Arechar Pilot,P,Lucid,100180,0,0.60000002,1,5.367,0.267148017883301,0.25430465,,1,114,0.25,0,0.75,,,36,1,1,1,
0,Arechar Pilot,P,Lucid,100180,0,0.2,0,5.335,0.605818152427673,0.56423843,,1,116,0.25,0,0.75,,,36,1,1,1,
0,Arechar Pilot,P,Lucid,100180,0,0.60000002,1,3.371,0.419565200805664,0.39215687,,1,118,0.25,0,0.75,,,36,1,1,1,
0,Arechar Pilot,P,Lucid,100180,0,0,0,4.29,0.576811611652374,0.57647061,,1,119,0.25,0,0.75,,,36,1,1,1,
0,Arechar Pilot,P,Lucid,100180,0,0,0,2.35,0.60945451259613,0.62384105,,1,120,0.25,0,0.75,,,36,1,1,1,
0,Arechar Pilot,P,Lucid,100180,0,0.2,0,7.328,0.569175601005554,0.59215689,,1,121,0.25,0,0.75,,,36,1,1,1,
0,Arechar Pilot,P,Lucid,100180,0,0,0,5.448,0.401449292898178,0.39337748,,1,123,0.25,0,0.75,,,36,1,1,1,
0,Arechar Pilot,P,Lucid,100180,0,0,0,4.011,0.644927501678467,0.66092718,,1,124,0.25,0,0.75,,,36,1,1,1,
0,Arechar Pilot,P,Lucid,100180,0,0,0,4.048,0.669090926647186,0.69934642,,1,125,0.25,0,0.75,,,36,1,1,1,
0,Arechar Pilot,P,Lucid,100180,0,0,0,5.18,0.578102231025696,0.58940399,,1,126,0.25,0,0.75,,,36,1,1,1,
0,Arechar Pilot,P,Lucid,100192,0,0,0,6.547,0.290579706430435,0.33008131,,0,101,0,1,0.5,,,64,1,1,0,
0,Arechar Pilot,P,Lucid,100192,0,0,0,9.595,0.301075279712677,0.3136,,0,102,0,1,0.5,,,64,1,1,0,
0,Arechar Pilot,P,Lucid,100192,0,0,0,5.206,0.289130449295044,0.31612903,,0,103,0,1,0.5,,,64,1,1,0,
0,Arechar Pilot,P,Lucid,100192,0,0,0,5.072,0.211552336812019,0.24000001,,0,104,0,1,0.5,,,64,1,1,0,
0,Arechar Pilot,P,Lucid,100192,0,0,0,8.338,0.210791349411011,0.24094489,,0,106,0,1,0.5,,,64,1,1,0,
0,Arechar Pilot,P,Lucid,100192,0,0,0,3.842,0.32974910736084,0.34080002,,0,109,0,1,0.5,,,64,1,1,0,
0,Arechar Pilot,P,Lucid,100192,0,0,0,7.239,0.278700351715088,0.28870967,,0,110,0,1,0.5,,,64,1,1,0,
0,Arechar Pilot,P,Lucid,100192,0,0,0,5.943,0.228673845529556,0.23968254,,1,112,0,1,0.5,,,64,1,1,0,
0,Arechar Pilot,P,Lucid,100192,0,0,0,3.986,0.267148017883301,0.2825397,,1,114,0,1,0.5,,,64,1,1,0,
0,Arechar Pilot,P,Lucid,100192,0,0,0,6.653,0.605818152427673,0.65645164,,1,116,0,1,0.5,,,64,1,1,0,
0,Arechar Pilot,P,Lucid,100192,0,0,0,5.799,0.419565200805664,0.45365855,,1,118,0,1,0.5,,,64,1,1,0,
0,Arechar Pilot,P,Lucid,100192,0,0,0,4.741,0.576811611652374,0.57723576,,1,119,0,1,0.5,,,64,1,1,0,
0,Arechar Pilot,P,Lucid,100192,0,0,0,4.115,0.60945451259613,0.59193552,,1,120,0,1,0.5,,,64,1,1,0,
0,Arechar Pilot,P,Lucid,100192,0,0,0,9.717,0.401449292898178,0.41120002,,1,123,0,1,0.5,,,64,1,1,0,
0,Arechar Pilot,P,Lucid,100192,0,0,0,5.86,0.644927501678467,0.62559998,,1,124,0,1,0.5,,,64,1,1,0,
0,Arechar Pilot,P,Lucid,100192,0,0,0,6.29,0.669090926647186,0.63114756,,1,125,0,1,0.5,,,64,1,1,0,
0,Arechar Pilot,P,Lucid,100192,0,0,0,7.535,0.578102231025696,0.56422764,,1,126,0,1,0.5,,,64,1,1,0,
0,Arechar Pilot,P,Lucid,100192,0,0,0,4.783,0.660869598388672,0.69430894,,1,127,0,1,0.5,,,64,1,1,0,
0,Arechar Pilot,P,Lucid,100206,0,0.60000002,1,0.915,0.290579706430435,0.33008131,,0,101,0,1,0.5,,,37,2,0,1,
0,Arechar Pilot,P,Lucid,100206,0,0,0,1.01,0.301075279712677,0.3136,,0,102,0,1,0.5,,,37,2,0,1,
0,Arechar Pilot,P,Lucid,100206,0,0.80000001,1,0.671,0.289130449295044,0.31612903,,0,103,0,1,0.5,,,37,2,0,1,
0,Arechar Pilot,P,Lucid,100206,0,1,1,0.621,0.211552336812019,0.24000001,,0,104,0,1,0.5,,,37,2,0,1,
0,Arechar Pilot,P,Lucid,100206,0,0.2,0,0.634,0.210791349411011,0.24094489,,0,106,0,1,0.5,,,37,2,0,1,
0,Arechar Pilot,P,Lucid,100206,0,1,1,0.968,0.32974910736084,0.34080002,,0,109,0,1,0.5,,,37,2,0,1,
0,Arechar Pilot,P,Lucid,100206,0,0.80000001,1,1.121,0.228673845529556,0.23968254,,1,112,0,1,0.5,,,37,2,0,1,
0,Arechar Pilot,P,Lucid,100206,0,0.80000001,1,1.578,0.267148017883301,0.2825397,,1,114,0,1,0.5,,,37,2,0,1,
0,Arechar Pilot,P,Lucid,100206,0,0,0,0.625,0.605818152427673,0.65645164,,1,116,0,1,0.5,,,37,2,0,1,
0,Arechar Pilot,P,Lucid,100206,0,0.60000002,1,0.853,0.419565200805664,0.45365855,,1,118,0,1,0.5,,,37,2,0,1,
0,Arechar Pilot,P,Lucid,100206,0,0.40000001,0,1.027,0.576811611652374,0.57723576,,1,119,0,1,0.5,,,37,2,0,1,
0,Arechar Pilot,P,Lucid,100206,0,0.80000001,1,0.477,0.60945451259613,0.59193552,,1,120,0,1,0.5,,,37,2,0,1,
0,Arechar Pilot,P,Lucid,100206,0,0.80000001,1,1.009,0.401449292898178,0.41120002,,1,123,0,1,0.5,,,37,2,0,1,
